Current,InstanceType,Manufacturer,MemoryMiB,VCpus,Price
TRUE,c7a.medium,AMD,2048,1,$0.12
TRUE,c6g.medium,AWS,2048,1,$0.03
TRUE,c7g.medium,AWS,2048,1,$0.04
TRUE,c6gd.medium,AWS,2048,1,$0.04
TRUE,c8g.medium,AWS,2048,1,$0.04
TRUE,c7gd.medium,AWS,2048,1,$0.05
TRUE,c8gd.medium,AWS,2048,1,$0.05
TRUE,c8gn.medium,AWS,2048,1,$0.06
TRUE,c7gn.medium,AWS,2048,1,$0.06
TRUE,m7a.medium,AMD,4096,1,$0.13
TRUE,m6g.medium,AWS,4096,1,$0.04
TRUE,m7g.medium,AWS,4096,1,$0.04
TRUE,m8g.medium,AWS,4096,1,$0.04
TRUE,m6gd.medium,AWS,4096,1,$0.05
TRUE,m7gd.medium,AWS,4096,1,$0.05
TRUE,m8gd.medium,AWS,4096,1,$0.06
TRUE,is4gen.medium,AWS,6144,1,$0.14
TRUE,r7a.medium,AMD,8192,1,$0.14
TRUE,r6g.medium,AWS,8192,1,$0.05
TRUE,r7g.medium,AWS,8192,1,$0.05
TRUE,r6gd.medium,AWS,8192,1,$0.06
TRUE,r8g.medium,AWS,8192,1,$0.06
TRUE,r7gd.medium,AWS,8192,1,$0.07
TRUE,r8gd.medium,AWS,8192,1,$0.07
TRUE,x2gd.medium,AWS,16384,1,$0.08
TRUE,x8g.medium,AWS,16384,1,$0.10
TRUE,t3a.nano,AMD,512,2,$0.00
TRUE,t4g.nano,AWS,512,2,$0.00
TRUE,t3a.micro,AMD,1024,2,$0.08
TRUE,t4g.micro,AWS,1024,2,$0.01
TRUE,t3a.small,AMD,2048,2,$0.09
TRUE,t4g.small,AWS,2048,2,$0.02
TRUE,c5a.large,AMD,4096,2,$0.08
TRUE,c7a.large,AMD,4096,2,$0.10
TRUE,t3a.medium,AMD,4096,2,$0.11
TRUE,c5ad.large,AMD,4096,2,$0.15
TRUE,c6a.large,AMD,4096,2,$0.56
TRUE,t4g.medium,AWS,4096,2,$0.03
TRUE,c6g.large,AWS,4096,2,$0.07
TRUE,c7g.large,AWS,4096,2,$0.07
TRUE,c6gd.large,AWS,4096,2,$0.08
TRUE,c8g.large,AWS,4096,2,$0.08
TRUE,c7gd.large,AWS,4096,2,$0.09
TRUE,c8gd.large,AWS,4096,2,$0.10
TRUE,c8gn.large,AWS,4096,2,$0.12
TRUE,c7gn.large,AWS,4096,2,$0.12
TRUE,c5.large,Intel,4096,2,$0.09
TRUE,c7i.large,Intel,4096,2,$0.09
TRUE,c6id.large,Intel,4096,2,$0.10
TRUE,c7i-flex.large,Intel,4096,2,$0.15
TRUE,c5d.large,Intel,4096,2,$0.16
TRUE,c6i.large,Intel,4096,2,$0.57
TRUE,c6in.large,Intel,4096,2,$0.59
TRUE,c5n.large,Intel,5376,2,$0.11
TRUE,m6a.large,AMD,8192,2,$0.09
TRUE,t3a.large,AMD,8192,2,$0.14
TRUE,m5a.large,AMD,8192,2,$0.15
TRUE,m7a.large,AMD,8192,2,$0.18
TRUE,g6f.large,AMD,8192,2,$0.20
TRUE,m5ad.large,AMD,8192,2,$0.58
TRUE,t4g.large,AWS,8192,2,$0.07
TRUE,m6g.large,AWS,8192,2,$0.08
TRUE,m7g.large,AWS,8192,2,$0.08
TRUE,m8g.large,AWS,8192,2,$0.09
